SnapshotDate,Rows,DistinctSKUs,AvailPhysical,OrderedInTotal,PhysicalReserved,NetAvailablePhysical,SKUsWithAvailableInventory,SKUsWithNetAvailableInventory,SKUsWithOrderedInventory
2026-03-30,46477,46477,3609456.3,4958834.0,18463.0,3590993.3,33089,32942,14376
2026-03-31,46859,46859,3615745.3,5357911.0,12640.0,3603105.3,33160,33002,14715
2026-04-01,47200,47200,3639926.3,5653739.0,12585.0,3627341.3,33277,33120,15035
2026-04-02,47121,47121,3660723.3,5737493.0,11650.0,3649073.3,33200,33070,14943
2026-04-03,47133,47133,3662685.3,5728521.0,10592.0,3652093.3,33303,33177,14864
2026-04-04,47163,47163,3654766.3,5719970.0,14856.0,3639910.3,33298,33134,14864
2026-04-05,47168,47168,3677739.3,5686189.0,19445.0,3658294.3,33356,33194,14802
2026-04-06,47168,47168,3665178.3,5685879.0,32006.0,3633172.3,33306,33105,14754
2026-04-07,47115,47115,3658898.3,5678966.0,18687.0,3640211.3,33401,33252,14719
2026-04-08,47174,47174,3653399.3,5638531.0,9629.0,3643770.3,33552,33475,14755
2026-04-09,47133,47133,3645096.3,5703707.0,8025.0,3637071.3,33482,33404,14763
2026-04-10,47127,47127,3637273.3,5713273.0,8918.0,3628355.3,33485,33405,14779
2026-04-11,47092,47092,3625736.3,5713293.0,15412.0,3610324.3,33396,33296,14779
2026-04-12,47053,47053,3610914.3,5713293.0,21941.0,3588973.3,33393,33300,14779
2026-04-13,47048,47048,3596220.3,5713213.0,19957.0,3576263.3,33371,33271,14756
2026-04-14,46988,46988,3586793.3,5642456.0,13497.0,3573296.3,33375,33301,14725
2026-04-15,47007,47007,3576209.3,5642456.0,11735.0,3564474.3,33394,33325,14725
2026-04-16,46989,46989,3565222.3,5642774.0,9900.0,3555322.3,33360,33291,14725
2026-04-17,46987,46987,3553362.3,5650963.0,9576.0,3543786.3,33370,33303,14731
2026-04-18,46944,46944,3542182.3,5651169.0,14663.0,3527519.3,33292,33203,14731
2026-04-19,46894,46894,3528951.3,5651169.0,18021.0,3510930.3,33275,33186,14731
2026-04-20,46882,46882,3513263.3,5651019.0,19913.0,3493350.3,33235,33142,14697
2026-04-21,46883,46883,3502682.3,5634784.0,13775.0,3488907.3,33226,33144,14739
2026-04-22,46945,46945,3472277.3,5612455.0,25535.0,3446742.3,33189,33084,14802
2026-04-23,46993,46993,3450241.3,5654599.0,25172.0,3425069.3,33187,33092,14863
2026-04-24,46945,46945,3428576.3,5672874.0,22005.0,3406571.3,33147,33055,14863
2026-04-25,46968,46968,3409824.3,5690125.0,21792.0,3388032.3,33146,33047,14863
2026-04-26,46914,46914,3383481.3,5690125.0,35063.0,3348418.3,33035,32901,14863
2026-04-27,46847,46847,3357881.3,5689036.0,34179.0,3323702.3,33019,32892,14622
2026-04-28,46831,46831,3306602.3,5687640.0,44650.0,3261952.3,32964,32795,14622
2026-04-29,46782,46782,3272475.3,5659339.0,39476.0,3232999.3,32795,32642,14622
2026-04-30,46775,46775,3253211.3,5661611.0,39885.0,3213326.3,32869,32715,14577
2026-05-01,46753,46753,3208581.3,5665313.0,59282.0,3149299.3,32775,32526,14587
2026-05-02,46734,46734,3193872.3,5666292.0,48801.0,3145071.3,32743,32529,14587
2026-05-03,46711,46711,3177493.3,5661176.0,52722.0,3124771.3,32689,32431,14557
2026-05-04,46619,46619,3145966.3,5661116.0,59197.0,3086769.3,32555,32260,14541
2026-05-05,46524,46524,3124616.3,5661401.0,49579.0,3075037.3,32544,32329,14541
2026-05-06,46458,46458,3154507.3,5622365.0,29554.0,3124953.3,32737,32610,14403
2026-05-07,46448,46448,3187327.3,5583832.0,18461.0,3168866.3,32802,32729,14297
2026-05-08,46403,46403,3203532.3,5564167.0,11111.0,3192421.3,32936,32855,14198
2026-05-09,47233,47233,3202684.3,5673936.0,11185.0,3191499.3,32903,32808,15051
2026-05-10,47204,47204,3193262.3,5673591.0,13891.0,3179371.3,32856,32751,15047
2026-05-11,47203,47203,3182794.3,5673422.0,24359.0,3158435.3,32795,32633,15013
2026-05-12,47098,47098,3171388.3,5674106.0,14656.0,3156732.3,32776,32689,15013
2026-05-13,47485,47485,3162662.3,5731874.0,9144.0,3153518.3,32800,32736,15426
2026-05-14,47516,47516,3171753.3,5713421.0,9668.0,3162085.3,32809,32729,15419
2026-05-15,47449,47449,3132244.3,5712406.0,16074.0,3116170.3,32703,32602,15418
2026-05-16,47447,47447,3112709.3,5712406.0,24957.0,3087752.3,32663,32533,15418
2026-05-17,47378,47378,3088416.3,5712406.0,36381.0,3052035.3,32596,32432,15418
2026-05-18,47295,47295,3055877.3,5712406.0,42046.0,3013831.3,32469,32307,15418
2026-05-19,47246,47246,3018874.3,5712629.0,31230.0,2987644.3,32490,32340,15418
2026-05-20,47409,47409,2997556.3,5782603.0,28574.0,2968982.3,32462,32320,15601
2026-05-21,47409,47409,2954740.3,5785753.0,55684.0,2899056.3,32368,32104,15607
2026-05-22,47401,47401,2907151.3,5788684.0,70122.0,2837029.3,32265,31980,15619
2026-05-23,47354,47354,2875496.3,5802802.0,63414.0,2812082.3,32155,31878,15665
2026-05-24,47288,47288,2839077.3,5802802.0,79776.0,2759301.3,32028,31702,15665
2026-05-25,47115,47115,2784845.3,5802802.0,97591.0,2687254.3,31911,31513,15665
2026-05-26,47106,47106,2736362.3,5802802.0,105352.0,2631010.3,31822,31357,15665
2026-05-27,47369,47369,2725348.3,5844385.0,78678.0,2646670.3,31889,31479,15882
2026-05-28,47432,47432,2716499.3,5868518.0,55935.0,2660564.3,31952,31631,15994
2026-05-29,47388,47388,2707822.3,5870754.0,28123.0,2679699.3,31956,31757,16021
2026-05-30,47673,47673,2700229.3,5942812.0,21832.0,2678397.3,31971,31761,16282
2026-05-31,47616,47616,2690971.3,5942812.0,21423.0,2669548.3,31906,31714,16282
2026-06-01,47494,47494,2678129.3,5942812.0,17898.0,2660231.3,31824,31703,16282
2026-06-02,47780,47780,2669641.3,5984001.0,9022.0,2660619.3,31900,31809,16587
2026-06-03,47813,47813,2669681.3,5979444.0,8766.0,2660915.3,31894,31797,16609
2026-06-04,47754,47754,2660861.3,5981236.0,10288.0,2650573.3,31793,31684,16623
2026-06-05,47833,47833,2653011.3,6000645.0,9180.0,2643831.3,31761,31678,16782
2026-06-06,47893,47893,2658462.3,6006850.0,12133.0,2646329.3,31774,31671,16818
2026-06-07,47874,47874,2648555.3,6005749.0,15087.0,2633468.3,31736,31615,16811
2026-06-08,47833,47833,2636248.3,6005666.0,14189.0,2622059.3,31706,31612,16786
2026-06-09,47771,47771,2644201.3,5986903.0,11634.0,2632567.3,31756,31654,16728
2026-06-10,47733,47733,2639521.3,5984689.0,11433.0,2628088.3,31768,31679,16694
2026-06-11,47810,47810,2631423.3,5984861.0,8803.0,2622620.3,31860,31767,16694
2026-06-12,47993,47993,2658912.3,6003734.0,10007.0,2648905.3,31976,31859,16823
